controller,condition,scenario,iae,ise,steady_state_error,control_energy,rise_time,settling_time,overshoot_pct,saturation_fraction
MPC_linear_clipped,friction,sine,15.86894749170428,1191.1903599045372,1.7513446964507247,163.24629866102887,,0.24599999999998923,-17.085363910710782,0.492
MPC_linear_clipped,saturation,step_nominal,26.894748234560396,1800.0698049790526,12.410328991421089,288.0,0.48899999999996246,0.49999999999996125,-7.922247162385119,1.0
MPC_linear_clipped,saturation,step_load_disturbance,28.47695818537347,1894.1140437533888,22.059021367893575,288.0,,0.49999999999996125,-18.426330494000013,1.0
MPC_linear_clipped,saturation,ramp,3.0188504101949576,21.050720664309328,9.703966758055001,268.3480462070523,,0.49999999999996125,-10.11460872861281,0.852
MPC_linear_clipped,saturation,sine,26.894748234560176,2193.2257989033787,6.448788162501064,288.0,,0.49999999999996125,-23.268539301987598,1.0
MPC_linear_clipped,combined_stress,step_nominal,29.775800899153367,2040.3013576260234,23.779816709919142,288.0,,0.49999999999996125,-19.954979792767375,1.0
MPC_linear_clipped,combined_stress,step_load_disturbance,31.34468733596149,2163.0704744647733,33.31574999494058,288.0,,0.49999999999996125,-30.325407092927847,1.0
MPC_linear_clipped,combined_stress,ramp,5.7370323590645524,82.60557377066566,20.695456926115884,275.4141632745298,,0.49999999999996125,-21.76566077697509,0.92
MPC_linear_clipped,combined_stress,sine,29.77580089915315,2395.1684745709326,17.818275880999124,288.0,,0.49999999999996125,-33.295816493972815,1.0
TD3_loaded,nominal,step_nominal,14.250707768257946,885.110975503404,6.942294678097272,126.83122239271302,0.2559999999999881,0.49999999999996125,8.150329403791673,0.108
TD3_loaded,nominal,step_load_disturbance,14.664143399473456,888.762700992973,11.071012020707093,137.74170712547857,0.2399999999999899,0.49999999999996125,11.872448873334648,0.108
TD3_loaded,nominal,ramp,6.805157370261402,151.98646854922393,30.52521455236435,123.32756069732768,0.3399999999999789,0.49999999999996125,32.383992354972996,0.002
TD3_loaded,nominal,sine,19.095813603876294,1359.2417842359812,13.00327477390607,150.2970190073768,0.4779999999999637,0.49999999999996125,-2.6776244183060642,0.09
TD3_loaded,ra_plus_50,step_nominal,22.905722025344712,1501.377105224814,3.3023069801139435,165.6126897259927,0.4159999999999705,0.49999999999996125,7.309197604805603,0.0
